mulai_kegiatan,selesai_kegiatan,kegiatan,tema,tempat
2010-01-15,2010-01-17,Jakarta Mega Wedding Festival 2010,"Wedding Planner, Bridal, Salon, Equipments, Services, Etc",Jakarta Infl Expo
2010-01-16,2010-01-24,Trend Furniture 2010,Furniture and Interior Products,JCC
2010-01-19,2010-01-22,APKOMINDO Summit,,JCC
2010-01-29,2010-01-31,Grand Wedding Expo 2010,"Wedding Planner, Bridal, Salon, Equipments, Services, Etc",JCC
2010-02-06,2010-02-14,Trend Property 2010,"Real Estate, Housing & Apartments, Trade Center and Supporting Services",X C
2010-02-11,2010-02-14,The 19th Education & Training Expo 2010,"Higher education institutions and training institutions and favorite leading from Greater Jakarta and the regions in Indonesia include: State Universities, Private Universities, Training Agencies and Skills Institutions/Courses.",X C
2010-02-20,2010-02-28,Furniture Indonesia 2010,Furniture and Interior Products,"Hall A -B , X C"
2010-02-23,2010-02-25,International Plantation Conference & Exhibition,Plantation Industry,JCC
2010-02-26,2010-02-28,Festival Cap Gomeh,"Multi Products, Festival and Celebration",Jakarta Infl Expo
2010-03-03,2010-03-07,Mega Bazaar Computer 2010,Computer and Accessories,JCC
2010-03-03,2010-03-07,Focus - Jakarta Photo & Digital Imaging Expo 2010,Photography & Digital Imaging,X C
2010-03-04,2010-03-07,Eco Product International Fair,"Ecc-products, Environmental initiatives, Eco-services, Environmental technology & business",X C
2010-03-11,2010-03-14,IFFINA2010,Furniture and Interior Products,Jakarta Infl Expo
2010-03-12,2010-03-14,General Practitioner Congress,,XC
2010-03-12,2010-03-14,Deep Indonesia 2010,"Diving, Adventure Travel & Water Sports",X C
2010-03-12,2010-03-14,Extreme Indonesia 2010,"Extreme Sports, Outdoor Adventures & Eco-Tourism Exhibition",X C
2010-03-12,2010-03-14,AGRINEX2010,Agribusiness Products and Services,"Hall A, JCC"
2010-03-24,2010-03-27,"The 2nd Indonesia International Auto Parts, and Equip Exhibition 2010","Auto Parts, and Equipments",Jakarta Infl Expo
