kota_administrasi,kecamatan,kelurahan,kodifikasi,nama_taman,lokasi_taman,luas_taman,jenis_taman
Jakarta Barat,Kali Deres,Kamal,12010054,Taman interaktif Jl. Lingkungan III RT 010 RW 003,,797,Taman Interaktif
Jakarta Barat,Kali Deres,Kamal,12010084,Taman Interaktif RT 001 RW 006,,1300,Taman Interaktif
Jakarta Barat,Kali Deres,Kamal,12010037,Taman interaktif Jl. Kamp.Belakang RT 001 RW 006,,994,Taman Interaktif
Jakarta Barat,Kali Deres,Kamal,12010038,Taman interaktif Jl. Kampung Rende RT 001 RW 008,,800,Taman Interaktif
Jakarta Barat,Kali Deres,Kamal,12010036,Taman interaktif Jl. Kamal RT 009 RW 003,,1126,Taman Interaktif
Jakarta Barat,Kali Deres,Semanan,12010014,Taman interaktif Jl. Kramat Raya RT 001 RW 009,,200,Taman Interaktif
Jakarta Barat,Kali Deres,Tegal Alur,12010006,Taman interaktif Jl. Bakti Mulya RT 008 RW 002,,1200,Taman Interaktif
Jakarta Barat,Kebon Jeruk,Kebon Jeruk,12010071,Taman Interaktif Sangkrini,Jl. Sangkrini,858,Taman Interaktif
Jakarta Barat,Kebon Jeruk,Kebon Jeruk,12010069,Taman Interaktif,,858,Taman Interaktif
Jakarta Barat,Kembangan,Joglo,12010064,Taman Interaktif Joglo Blok F,,700,Taman Interaktif
Jakarta Barat,Palmerah,Kota Bambu Selatan,12010023,Taman Interaktif Jl.MT.Haryono No 21 RT 006 RW 004,,262,Taman Interaktif
Jakarta Barat,Palmerah,Kota Bambu Utara,12010051,Taman interaktif Jl. D RT 005 RW 005,,648,Taman Interaktif
Jakarta Barat,Palmerah,Palmerah,12010057,Taman interaktif Gg. Bahagia No.30 RT 011 RW 009,,610,Taman Interaktif
Jakarta Barat,Palmerah,Palmerah,12010049,Taman Interaktif Swakarya Ujung RT 009 RW 017,,300,Taman Interaktif
Jakarta Barat,Taman Sari,Keagungan,12010012,Taman interaktif Jl. Kesederhanaan No.20A,,200,Taman Interaktif
Jakarta Barat,Taman Sari,Taman Sari,12010011,Taman interaktif Jl. Keadilan Dalam II RT 004 RW 002,,300,Taman Interaktif
Jakarta Pusat,Johar Baru,Galur,12010004,Taman Kalista Utara,Gg. Kalista Utara,200,Taman Interaktif
Jakarta Pusat,Johar Baru,Johar Baru,12010039,Taman interaktif Jl. Perc.Negara II Gg UU,,215,Taman Interaktif
Jakarta Pusat,Johar Baru,Kampung Rawa,12010021,Taman Rawa Tengah RW 007,Jl. Rawa Tengah RW 007,300,Taman Interaktif
Jakarta Pusat,Johar Baru,Kampung Rawa,12010019,"Taman interaktif Jl. Rawa Selatan II RW 004,",,461,Taman Interaktif
Jakarta Pusat,Johar Baru,Kampung Rawa,12010062,Taman Rawa Tengah I,Jl. Rawa Tengah I,531,Taman Interaktif
Jakarta Pusat,Johar Baru,Kampung Rawa,12010082,"Taman Interaktif Jl.Rawa Selatan II RW 004,",,461,Taman Interaktif
Jakarta Pusat,Johar Baru,Kampung Rawa,12010020,"Taman interaktif Jl. Rawa Selatan II RW 005,",,276,Taman Interaktif
Jakarta Pusat,Johar Baru,Kampung Rawa,12010018,"Taman interaktif Jl. Rawa Sawah I RW 003,",,310,Taman Interaktif
Jakarta Pusat,Kali Deres,Kampung Bali,12010088,Taman Interaktif Jl.Hati Suci,,212,Taman Interaktif
Jakarta Pusat,Kemayoran,,12010050,Taman interaktif Jl. Cempaka Baru Barat Gg.Rela RT 009 RW 007,,720,Taman Interaktif
Jakarta Pusat,Kemayoran,,12010007,Taman interaktif Jl. Cempaka Sari V RT 012 RW 008,,212,Taman Interaktif
Jakarta Pusat,Kemayoran,Kemayoran,12010035,Taman interaktif Gg. Mantri IV,,346,Taman Interaktif
Jakarta Pusat,Kemayoran,Serdang,12010022,Taman interaktif Jl. Taruna XXIII RW 005,,400,Taman Interaktif
Jakarta Pusat,Kemayoran,Serdang,12010090,Taman Interaktif Jl.Krida III Rt 009/01,,531,Taman Interaktif
Jakarta Pusat,Senen,Bungur,12010053,Taman interaktif Jl. Kalibaru Timur Gg. 7 No. 24 B,,298,Taman Interaktif
Jakarta Pusat,Senen,Paseban,12010013,"Taman interaktif Jl. Kramat Lontar III RW 001,",,210,Taman Interaktif
Jakarta Pusat,Tanah Abang,Kampung Bali,12010010,Taman interaktif Jl. Kampung Bali IX RW 009,,240,Taman Interaktif
Jakarta Pusat,Tanah Abang,Kampung Bali,12010083,Taman Interaktif Sgt.Kampung Bali,,377,Taman Interaktif
Jakarta Selatan,Cilandak,Gandaria Selatan,12010093,Taman Interaktif Jl. Poncol II,,891,Taman Interaktif
Jakarta Selatan,Cilandak,Lebak Bulus,12010073,Taman Interaktif Karang Tengah,,28231,Taman Interaktif
Jakarta Selatan,Cilandak,Pondok Labu,12010046,Taman Interaktif RT 006 RW 002,,631,Taman Interaktif
Jakarta Selatan,Jagakarsa,Ciganjur,12010074,Taman Interaktif Moh.Kahfi I,Jl. Moh.Kahfi I,9629,Taman Interaktif
Jakarta Selatan,Jagakarsa,Ciganjur,12010081,Taman Interaktif Jl. Moh.Kahfi I RT 010 RW 002,,6305,Taman Interaktif
Jakarta Selatan,Jagakarsa,Jagakarsa,12010077,Taman Interaktif Jl. Jagakarsa Raya (Jl.Moh.Kahfi RT 001/RW 002),,924,Taman Interaktif
Jakarta Selatan,Kebayoran Baru,Grogol Utara,12010042,Taman Interaktif Jl.Pluis,,185,Taman Interaktif
Jakarta Selatan,Kebayoran Lama,Kebayoran Lama Utara,12010066,Taman interaktif Jl. Peninggaran I,,530,Taman Interaktif
Jakarta Selatan,Kebayoran Lama,Kebayoran Lama Utara,12010041,Taman Interaktif Jl.Peninggaran,,253,Taman Interaktif
Jakarta Selatan,Kebayoran Lama,Kebayoran Lama Utara,12010087,Taman Interaktif Jl.Delman Elok VI Ujung Rt 004/011,,3101,Taman Interaktif
Jakarta Selatan,Kebayoran Lama,Kebayoran Lama Utara,12010063,Taman Interaktif Jl.Delman Elok VI Ujung RT 004 RW 006,,1099,Taman Interaktif
Jakarta Selatan,Mampang Prapatan,Mampang Prapatan,12010058,Taman Interaktif Gg.Jati RT 009 RW 001,,854,Taman Interaktif
Jakarta Selatan,Pasar Minggu,Kebagusan,12010079,Taman Interaktif Jl. Kebagusan Dalam I,,16212,Taman Interaktif
Jakarta Selatan,Pasar Minggu,Pejaten Timur,12010024,Taman Interaktif Jl.Pejaten Timur,,600,Taman Interaktif
Jakarta Selatan,Pesanggrahan,Bintaro,12010047,Taman Interaktif RT 006 RW 009,,485,Taman Interaktif
Jakarta Selatan,Pesanggrahan,Petukangan Selatan,12010008,Taman Interaktif Jl. H. Lahab RT 008 RW 003,,350,Taman Interaktif
Jakarta Selatan,Setia Budi,Kebon Manggis,12010029,Taman Interaktif Pocong Manggis ( Wadas tengah ),,329,Taman Interaktif
Jakarta Selatan,Setia Budi,Menteng Atas,12010026,Taman interaktif,,563,Taman Interaktif
Jakarta Selatan,Tebet,Manggarai Selatan,12010033,Taman Interaktif Tebet,,341,Taman Interaktif
Jakarta Timur,Cakung,Cakung Barat,12010094,Taman Interaktif Rt. 006 Rw. 004,,1633,Taman Interaktif
