nama_usaha,alamat_usaha,rt,rw,wilayah,penanggung_jawab,badan_usaha,telepon,fax,jenis_usaha,kapasitas_kamar
1001 Entertainment Club,Jl. Kunir No. 7,,,Jakarta Barat,Stanilaus Raymer Jacob,PT. Perkasa Tunggal Mandiri,021 6907575,021 6912546,Hotel Bintang,50/B3
Arwana,Jl. Mangga Besar VIII No. 7,,,Jakarta Barat,Damli Tandi,PT. Daharin Gama Sejahtera,021 6009925,021 6006879,Hotel Bintang,107/B2
Ata Hotel Indonesia,"Graha Arteri Mas, Jl. Kedoya Raya No. 41 / Jl. Panjang",,,Jakarta Barat,Stephen Reinhard Rantung,PT. Ata Hotel Indonesia,021 29424663,021 29424664,Hotel Bintang,54/B
B Fashion Hotel,Jl. Aranda No. 1,,,Jakarta Barat,Wedji Hartono Pandojo,PT. Tumbuh Sukses Makmur,,,Hotel Bintang,132/B
Banian Boulevar,Jl. Tanjung Duren Raya,,,Jakarta Barat,,,021 5662288,021 5669933,Hotel Bintang,132/B3
Business Hotel,Jl. Hayam Wuruk No. 77,,,Jakarta Barat,Arifin Siman,PT. Super Sukses Nusantara,021 3500123,021 3504567,Hotel Bintang,150/B
Ciputra,Jl. Letjend S. Parman,,,Jakarta Barat,Candra Ciputra,PT. Ciputra Sentra,021 5660640,021 5661172,Hotel Bintang,333/B4
Comfort,Jl. Latumenten No. 50,,,Jakarta Barat,Yogi Idham Fauzi,PT. Comfort Nusantara,021 56960198,021 56960198,Hotel Bintang,40/B
De Rivier,Jl. Kalibesar Barat No. 44-46,,,Jakarta Barat,Drs. Fuad Djapar,PT. Wahana Andamari,021 6904118,021 6912894,Hotel Bintang,311/B4
Fave Hotel LTC Glodok,"Gd. LTC Glodok, Jl. Hayam Wuruk No. 127",,,Jakarta Barat,Siaw Tjen Rustanto,PT. Sukses Gemilang Nusantara,021 6287889,021 6592449,Hotel Bintang,203/B
FM.1 Boutique,Jl. Let. Jend S. Parman Raya Kav. 8,,,Jakarta Barat,Samsudin,PT. Seriatama Slipi Indah,021 5633333,021 5633580,Hotel Bintang,64/B3
Golden Crown,Jl. Pinangsia Raya No. 1,,,Jakarta Barat,Rudy Gunawan,PT. Mahkota Aman Sukses,021 5268833,021 62302878,Hotel Bintang,40/B
Grand Akoya,Jl. Tamansari raya No. 85 H,,,Jakarta Barat,Yunda Lusia Sutardja,PT. Maxima Interindah Hotel,021 6294108,021 6296216,Hotel Bintang,50/B
Grand Paragon,Jl. Gajah Mada No. 126,,,Jakarta Barat,Theressia,PT. Gajah Mada Square,021 6258822,021 6252111,Hotel Bintang,100/B3
Grand Tropic Suites Hotel,Jl. Letjen S. Parman Kav. 3,7,2,Jakarta Barat,Njudarsono Yusetijo,PT. Graha Hexindo,021 5641555,021 5641550,Hotel Bintang,195/B4
Holiday INN-Express,Jl. Palmerah Barat No. 82,,,Jakarta Barat,Adi Winata,PT. Pepper Tree Global,021 58397977,021 58397978,Hotel Bintang,280/B
Hotel Agraha Jakarta,Jl. Bandengan Selatan No. 20,11,5,Jakarta Barat,Agus Harianto,PT. Risul Graha,,,Hotel Bintang,80/B2
Hotel Astika,Jl. Mangga Besar Raya No. 76,,,Jakarta Barat,Tjong Iek Chien,PT. Palm Semesta Cemerlang,021 6241188,021 6269988,Hotel Bintang,153/B2
Hotel Aston,Jl. Raya Kamal Outering Road Blok C-01 No. 18,,,Jakarta Barat,Haryanto Limin Loamayer,PT. Graha Indah Mandiri,021 55957648,021 55957648,Hotel Bintang,156/B
Hotel Daan Mogot,Jl. Daan Mogot,2,1,Jakarta Barat,Ir. Jang Achir Judi,PT. Sembilan Sempurna Sejahtera,,,Hotel Bintang,200/B
Hotel Fave,Jl. Kembangan Abadi Utama / Jl. Kembangan Abad,,,Jakarta Barat,Emir Zarry,PT. Duta Wahana Gemilang,021 58305537,,Hotel Bintang,108/B
Hotel Grand Tjokro,Jl. Daan Mogot No. 63,,,Jakarta Barat,Poniman Asnim,PT. Karya Cipta Hotelindo,021 5660229,,Hotel Bintang,100/B
Hotel Megah,Jl. Kejayaan No. 17,,,Jakarta Barat,Drs. Sugiarto Sentosa,PT. Megah Sugih Arto Sentosa,021 32435276,,Hotel Bintang,40/B1
Hotel Pullman Jakarta Central Park,"Podomoro City, Jl. Letjen S. Parman Kav. 28",,,Jakarta Barat,Veriyanto Setiady,PT. Central Pesona Palace,021 56988888,021 56985070,Hotel Bintang,317/B
Hotel Santika Premiere Jakarta,Jl. Aipda KS. Tubun No. 7,,,Jakarta Barat,Dhaniel Heru Prabowo,PT. Grahawita Santika,021 5361777,021 5483457,Hotel Bintang,275/B4
Hotel Traffic,Jl. Daan Mogot No. 77 B,,,Jakarta Barat,Ardiyanto,PT. Iwan Santa,021 56945492,,Hotel Bintang,33/B
