nama_usaha,wilayah,alamat_usaha,rt,rw,penanggung_jawab,badan_usaha,telepon,fax,jenis_usaha,kapasitas,
1001 Entertainment Club,Jakarta Barat,"Jl. Kunir No. 7, Pinangsia",,,Stanislaus Raymer Jacob,PT. Perkasa Tunggal Mandairi,021 6907575,021 6907575,Bar,2015-01-10,
99,Jakarta Barat,Jl. P. Jayakarta No. 45 Blok  A.1,,,Freddy,Freddy,021 6493140,021 6493140,Bar,1932-08-01,
Aku &  Kamu,Jakarta Barat,Jl. Mangga Besar VIII No.15 A,,,Effendy Iteh,Effendy Iteh,,,Bar,2015-07-28,
Anggrek,Jakarta Barat,Jl. Kebon Jeruk XIX No. 111 W,,,Lie Lian Kwie,Koperasi Jayaraya,021 6285643,,Bar,2015-01-10,
Antik,Jakarta Barat,Jl. P. Jayakarta No. 45 Blok A 17,,,Welly Susetia, PT. Video  Arta Utama     ,021 6494516,,Bar,25/100,
Astro,Jakarta Barat,Jl. P. Jayakarta No. 45 Blok A/6,,,Eugenia Melani,Eugenia Melani,021 6495740,021 6495740,Bar,2015-01-10,
B Fashion,Jakarta Barat,Jl. Aranda No. 1,,,Wedji Hartono P,PT. Tumbuh Sukses Makmur,,,Bar,1940-10-01,
Bandara 2001,Jakarta Barat,"Ruko Aldiron, Jl. Daan Mogot No. 119",,,Wirjadi Hidayat,PT. Mitra Lido Perdana,021 56969511,,Bar,2015-02-10,
Blitzmegaplex,Jakarta Barat,"Central Park, Jl. Letjend S. Parman Kav. 28",,,Bratanata Perdana,PT. Graha Layar Prima,021 56988888,021 56985100,Bar,2015-01-10,
Blue Corner,Jakarta Barat,Jl. Boulevard Raya C 81-82,,,Hendi Siswanto,PT. Anugrah Sentosa Raya,021 45851045,,Bar,2015-01-10,
Breakfast Lunch Dinner,Jakarta Barat,Jl. Puri Indah Boulevard Blok U1,,,Nikko Wonoto,PT. Nashville International,021 55777775,,Bar,2015-01-10,
California Pizza Kitchen,Jakarta Barat,"PX Pavilion @ The St. Moritz, Jl. Puri Indah Raya",,,Roni Prananto,PT. Panca Pilar Kencana,,,Bar,2015-01-10,
Carrefour,Jakarta Barat,Jl. Puri Kembangan,,,Novalian,PT. TRANS RETAIL INDONESIA,021 27585800,021 27585707,Bar,2015-01-10,
Carrefour,Jakarta Barat,"Central Park Mall, Jl. Letjen. S. Parman Kav. 28",,,Adi Prihasmoro,PT. Trans Retail Indonesia,021 27585800,021 27585707,Bar,2015-01-10,
Causeway Bay HK Resto,Jakarta Barat,Jl. Gajah Mada No. 174,,,Lam Sai La Angela,PT. Causeway Bay Resto,021 6319333,021 6684045,Bar,2015-01-10,
